"xid","Date","Romney","Obama"
"0",2011-02-01,41.5,47.5
"1",2011-02-02,41.5,47.5
"2",2011-02-03,41.5,47.5
"3",2011-02-04,41.5,47.5
"4",2011-02-05,41.5,47.5
"5",2011-02-06,41.5,47.5
"6",2011-02-07,42,46.4
"7",2011-02-08,42,46.4
"8",2011-02-09,42.7,46.7
"9",2011-02-10,42.7,46.7
"10",2011-02-11,42,47.3
"11",2011-02-12,42,47.3
"12",2011-02-13,42,47.3
"13",2011-02-14,42,47.3
"14",2011-02-15,42,47.3
"15",2011-02-16,41.7,47
"16",2011-02-17,41.7,47
"17",2011-02-18,41.7,47
"18",2011-02-19,41.7,47
"19",2011-02-20,41.7,47
"20",2011-02-21,41.7,47
"21",2011-02-22,41.7,47
"22",2011-02-23,42.8,47.3
"23",2011-02-24,42.8,47.3
"24",2011-02-25,42.8,47.3
"25",2011-02-26,42.8,47.3
"26",2011-02-27,42.8,47.3
"27",2011-02-28,42.8,47.3
"28",2011-03-01,42.8,47.3
"29",2011-03-02,42.4,47.6
"30",2011-03-03,42.4,47.6
"31",2011-03-04,42.4,47.6
"32",2011-03-05,42.4,47.6
"33",2011-03-06,42.4,47.6
"34",2011-03-07,42.4,47.6
"35",2011-03-08,42.4,47.6
"36",2011-03-09,42.4,47.6
"37",2011-03-10,42.4,47.6
"38",2011-03-11,42.4,47.6
"39",2011-03-12,42.4,47.6
"40",2011-03-13,42.4,47.6
"41",2011-03-14,42.4,47.6
"42",2011-03-15,42.4,47.6
"43",2011-03-16,42.6,47.7
"44",2011-03-17,42.6,47.7
"45",2011-03-18,42.6,47.7
"46",2011-03-19,42.6,47.7
"47",2011-03-20,42.6,47.7
"48",2011-03-21,42.6,47.7
"49",2011-03-22,42.6,47.7
"50",2011-03-23,42.6,47.7
"51",2011-03-24,42.6,47.7
"52",2011-03-25,42.6,47.7
"53",2011-03-26,42.6,47.7
"54",2011-03-27,42.6,47.7
"55",2011-03-28,42.6,47.7
"56",2011-03-29,42.6,47.7
"57",2011-03-30,42.6,47.7
"58",2011-03-31,42.6,47.3
"59",2011-04-01,42.6,47.3
"60",2011-04-02,42.6,47.3
"61",2011-04-03,42.6,47.3
"62",2011-04-04,42.6,47.3
"63",2011-04-05,42.6,47.3
"64",2011-04-06,42.6,47.3
"65",2011-04-07,42.6,47.3
"66",2011-04-08,42.6,47.3
"67",2011-04-09,42.6,47.3
"68",2011-04-10,42.6,47.3
"69",2011-04-11,42.6,47.3
